gene,value
SPCS1,12.36
ITIH1,4.63
ITIH3,4.6
PRKCD,7.94
CACNA1D,6.07
IL17RB,6.7
CACNA2D3,5.42
CCDC66,10.32
SPATA12,6.2
APPL1,10.17
PDE12,10.37
FLNB,10.61
ABHD6,8.06
RPP14,10.69
PXK,12.15
KCTD6,8.67
PTPRG,10.2
PTPRG,7.29
C3orf14,4.7
SYNPR,5.38
SNTN,4.11
C3orf49,4.24
ATXN7,11.15
SLC25A26,8.9
KBTBD8,6.69
FAM19A1,5.72
PSMC1,11.59
ARL6IP5,15.26
MITF,10.71
GPR27,6.12
EBLN2,8.08
FRG2C,5.52
CADM2,5.61
CHMP2B,10.79
HTR1F,4.87
ZNF654,9.41
C3orf38,8.78
EPHA3,4.07
ARL13B,12.84
NSUN3,10.07
NSUN3,3.66
EPHA6,5.26
ARL6,9.23
CRYBG3,6.55
OR5AC1,3.67
OR5AC2,4.09
OR5H1,4.64
OR5H14,4.41
OR5H15; OR5H5P,4.11
RP11-325B23.2; OR5H8,3.88
OR5H6,5.75
OR5H2,4.93
OR5K4,4.61
OR5K3,4.65
OR5K1,5.49
OR5K2,5.1
GPR15,5.66
COL8A1,7.89
CMSS1,7.41
TMEM30C,4.9
TBC1D23,12.04
NIT2,9.97
LNP1,5.83
TMEM45A,7.99
ADGRG7,5.02
TFG,14.04
TRMT10C,9.73
PCNP,14.58
CEP97,10.12
CEP97,6.77
ZPLD1,3.98
ZPLD1,5.73
ALCAM,14.83
CCDC54,4.78
BBX,12.92
HHLA2,3.43
DZIP3,12.23
TRAT1,4.57
FLJ22763; RP11-59E19.1,4.5
LINC01205,6.63
PVRL3,12.84
CD96,7.06
PHLDB2; PLCXD2,9.84
ABHD10,9.51
TAGLN3,5.54
TMPRSS7,4.42
C3orf52,7.76
SLC35A5,10.94
GTPBP8,11.47
BOC,7.23
SIDT1,6.47
ATP6V1A,11.88
GRAMD1C,8.58
ZDHHC23,8.51
QTRTD1,12.47
TIGIT,6.14
GAP43,5.9
ARHGAP31,9.74
POGLUT1,9.37
TIMMDC1,12.05
ADPRH,5.96
PLA1A,6.82
MAATS1,5.99
NR1I2,5.24
LRRC58,6.98
NDUFB4,12.62
GTF2E1,11.67
STXBP5L,5.5
ARGFX,5.03
FBXO40,3.63
EAF2,7.69
SLC15A2,5.19
CD86,4.27
CASR,8.04
CSTA,6.39
FAM162A,9.4
DTX3L,9.58
PARP15,4.52
PARP14,11.48
DIRC2,11.47
KALRN,5.74
KALRN,4.41
UMPS,11.02
ROPN1B,5.33
ALDH1L1-AS1,6.57
CFAP100,3.87
CHST13,4.54
CHCHD6,6.23
PLXNA1,9.77
C3orf56,3.75
MCM2,9.56
PODXL2,10.03
ABTB1,6.47
KBTBD12,6.13
SEC61A1,10.49
EEFSEC,8.7
EEFSEC,5.93
RAB7A,15.92
ACAD9,10.13
EFCC1,5.73
GP9,4.29
COPG1,10.55
HMCES,9.07
IFT122,10.11
RHO,5.94
H1FOO,4.98
TRH,6.1
COL6A5,3.88
COL6A6,4.69
ATP2C1,12.48
NEK11,7.99
NUDT16,7.48
ACPP,3.93
DNAJC13,12.88
ACKR4,6.05
UBA5,10.49
TMEM108,4.6
BFSP2,6.77
CDV3,15.23
CEP63,12.13
PPP2R3A,8.86
PCCB,11.02
SLC35G2,9.84
SOX14,6.09
CLDN18,5.15
ARMC8,13.77
MRAS,5.17
ESYT3,5.08
FAIM,10.87
FOXL2NB,5.8
MRPS22,11.06
CLSTN2,5.08
TRIM42,4.36
SLC25A36,10.1
SPSB4,5.72
PXYLP1,5.8
ZBTB38,13.25
RASA2,9.1
RNF7,11.8
GRK7,4.69
ATP1B3,11.7
PLS1,10.22
TRPC1,9.04
AGTR1,4.15
CPB1,4.61
CPA3,4.64
GYG1,11.37
HPS3,14.66
TM4SF1-AS1,5.46
TM4SF4,9.51
RNF13,12.77
EIF2A,10.71
SELT; SELT.1,14.74
MED12L,4.43
AADACL2,4.09
AADAC,6.08
SUCNR1,4.37
MBNL1,15.07
P2RY1,4.99
RAP2B,10.53
C3orf79,4.46
ARHGEF26,7.28
SGEF,5.58
MME,9.65
GMPS,13.12
KCNAB1,5.16
KCNAB1,5.01
TIPARP,13.64
LEKR1,7.12
PTX3,11.02
PQLC2L,5.02
RSRC1,11.12
MLF1,4.32
GFM1,11.1
IQCJ; SCHIP1; IQCJ-SCHIP1,10.22
IL12A,5.53
C3orf80,5.53
SMC4,15.92
ARL14,5.04
PPM1L,4.29
NMD3,12.45
OTOL1,4.99
SERPINI1,5.36
MYNN,10.29
LRRIQ4,4.61
SAMD7,3.83
SEC62,13.12
GPR160,8.94
PRKCI,13.17
SKIL,10.93
CLDN11,7.94
TMEM212,5.74
FNDC3B,15.22
ECT2,14.67
NLGN1,5.48
PIK3CA,11.48
ZNF639,10.44
MFN1,11.08
ACTL6A,10.94
NDUFB5,13.42
USP13,9.07
TTC14,10.41
SOX2,6.11
ATP11B,8.92
B3GNT5,10.5
KLHL24,9.36
YEATS2,9.38
HTR3D,5.39
HTR3C,5.08
HTR3E,5.03
EIF2B5,9.15
DVL3,11.47
AP2M1,13.33
ABCF3,9.23
VWA5B2,6.05
ECE2,7.32
PSMD2,12.5
EIF4G1,12.0
FAM131A,5.54
POLR2H,10.63
CHRD,4.9
EPHB3,4.51
VPS8,10.32
VPS8,4.7
VPS8,4.97
VPS8,4.37
MAP3K13,8.07
SENP2,11.39
AHSG,5.11
FETUB,5.17
HRG,5.59
KNG1,5.07
EIF4A2; SNORA63; SNORD2; SNORA4; SNORA81; MIR1248,12.61
ADIPOQ,3.61
ST6GAL1,7.99
RTP1,5.03
RTP4,5.2
LPP,14.44
TP63,7.97
CLDN16,7.12
IL1RAP,9.46
IL1RAP,4.66
OSTN,4.72
CCDC50,13.3
PYDC2,5.24
HRASLS,4.15
ATP13A5-AS1,4.59
OPA1,13.04
HES1,8.55
FAM43A,4.71
MUC20; SDHAP2; MIR570; LINC00969,4.79
LINC00885,4.45
TM4SF19-AS1,8.69
FBXO45,8.84
PAK2,11.62
SENP5,11.08
SENP5,6.37
NCBP2-AS2,7.1
FYTTD1,12.22
LRCH3,11.22
RPL35A,13.37
LMLN,9.41
FAM157A,6.64
CRBN,10.24
OXTR,14.42
RAD18,13.35
LHFPL4,6.54
CAMK1,9.91
TADA3,8.67
RPUSD3,12.77
CIDEC,4.94
PRRT3,4.51
FANCD2OS,5.57
GHRL,5.8
SEC13,10.65
ATP2B2,6.4
TAMM41,8.83
TIMP4,6.79
RAF1,9.84
TMEM40,11.08
RPL32; SNORA7A,14.64
IQSEC1,6.06
NUP210,9.17
WNT7A,4.12
CHCHD4,9.65
XPC,9.06
GRIP2,5.17
MRPS25,9.28
RBSN,11.14
SH3BP5,8.67
HACL1,12.07
ANKRD28,12.45
DPH3,9.56
RFTN1,11.01
DAZL,5.2
PLCL2,3.95
PP2D1,6.2
SGOL1,12.57
NKIRAS1,11.36
THRB,7.36
TOP2B; MIR4442,12.34
NGLY1,8.67
NEK10,8.27
SLC4A7,13.87
EOMES,5.37
AZI2,9.44
GADL1,3.6
OSBPL10,9.8
CMTM6,10.76
DYNC1LI1,14.05
GLB1; TMPPE,12.76
SUSD5,7.92
UBP1,9.58
CLASP2,9.79
CLASP2,6.47
CLASP2,5.77
CLASP2,6.26
DCLK3,5.2
TRANK1,5.06
EPM2AIP1,8.88
LRRFIP2,10.9
PLCD1,5.28
ACAA1,11.43
SCN5A,6.03
SCN10A,3.63
SCN11A,3.83
GORASP1,7.52
CSRNP1,5.58
XIRP1,5.16
CX3CR1,4.59
ULK4,9.34
CCK,7.51
LYZL4,3.39
SEC22C,11.03
CCDC13,5.25
CYP8B1,4.56
POMGNT2,7.56
ZNF445,9.1
ZNF852,8.76
KIAA1143,12.5
ZDHHC3,12.29
CDCP1,8.38
TMEM158,6.71
SLC6A20,7.06
LZTFL1,10.86
FYCO1,9.45
XCR1,6.32
CCR1,5.29
LTF,5.25
LRRC2,4.98
ALS2CL,4.84
PRSS42,6.33
MYL3,7.39
CCDC12,10.2
SETD2,10.12
KIF9,6.93
PTPN23,3.32
SCAP,10.31
ELP6,7.47
CSPG5,6.52
SMARCC1,12.82
MAP4,14.1
MAP4,8.33
CDC25A,8.64
NME6,7.86
SPINK8,5.27
PLXNB1,5.81
SHISA5,15.51
COL7A1; MIR711,9.14
UQCRC1,11.04
TMEM89,6.96
NCKIPSD,7.7
PRKAR2A,9.42
SLC25A20,7.55
ARIH2OS,4.07
WDR6,5.5
DALRD3,9.7
IMPDH2,12.4
QRICH1,13.16
QRICH1,7.04
QARS; MIR6890,11.13
USP19,9.15
LAMB2,7.53
CCDC71,5.99
C3orf84,3.93
CDHR4,6.49
GPX1,10.77
RHOA,15.55
AMT; NICN1,6.78
MST1,5.2
IP6K1,8.87
UBA7; MIR5193,5.01
TRAIP,9.69
CAMKV,4.65
MST1R,6.66
MON1A,5.66
HYAL1,8.59
RASSF1,5.47
ZMYND10,8.85
NPRL2,6.05
TMEM115,8.66
CACNA2D2,4.06
C3orf18,5.5
CISH,5.59
VPRBP,9.66
IQCF6,4.47
IQCF5,6.25
IQCF1,4.17
RRP9,7.7
RPL29,11.56
DUSP7,8.47
POC1A,8.02
WDR82,12.75
BAP1,7.89
SEMA3G,6.66
TNNC1,7.66
NT5DC2,11.9
PBRM1,11.13
GLT8D1,10.64
NEK4,10.35
TKT,14.48
DCP1A,8.22
CHDH,4.66
ACTR8,8.37
SELK,9.61
LRTM1,3.68
WNT5A,6.56
WNT5A,4.58
ERC2,6.3
FAM208A,12.72
ARHGEF3,5.91
IL17RD,7.29
ASB14,4.44
DNAH12,3.39
ARF4,14.17
DENND6A,11.24
DNASE1L3,6.13
PDHB,11.43
ACOX2,5.4
FAM107A,5.96
FAM3D,5.36
C3orf67,8.01
FHIT,6.54
FEZF2,5.09
CADPS,3.99
THOC7,13.12
PSMD6,11.94
PRICKLE2,8.62
ADAMTS9,4.71
MAGI1,8.7
LRIG1,11.12
SUCLG2,9.02
FAM19A4,6.03
EOGT,12.81
TMF1,11.43
UBA3,15.37
LMOD3,4.33
FRMD4B,10.31
FOXP1,12.27
FOXP1; RP11-298C2.1,6.04
EIF4E3,5.76
PROK2,6.56
RYBP,8.58
SHQ1,9.93
PDZRN3,5.16
CNTN3,4.42
ZNF717,10.16
ROBO1,9.43
GBE1,10.61
VGLL3,6.38
POU1F1,5.23
CGGBP1,13.07
PROS1,9.85
STX19,4.85
DHFRL1,10.31
MTRNR2L2; MTRNR2L12,16.85
MINA,12.62
GABRR3,4.34
DCBLD2,16.37
FILIP1L,13.11
TOMM70A,12.29
ABI3BP,11.64
IMPG2,4.96
SENP7,9.67
ZBTB11,9.65
RPL24,13.92
CBLB,9.72
BBX,5.89
CD47,12.15
IFT57,8.57
MYH15,11.49
KIAA1524,13.17
GUCA1C,4.06
MORC1,4.12
DPPA2,3.69
DPPA4,5.58
ZBED2,6.94
GCSAM,3.81
SLC9C1,4.71
BTLA,4.73
ATG3,12.99
CD200R1L,4.37
CD200R1,3.78
C3orf17,9.19
CFAP44,6.65
SPICE1,8.39
USF3,9.78
NAA50,14.68
CCDC191,7.51
DRD3,4.86
ZNF80,4.9
ZBTB20; MIR568,13.24
LSAMP,5.47
IGSF11,6.32
B4GALT4,8.89
TMEM39A,11.07
CD80,5.16
GSK3B,13.23
GPR156,5.66
LRRC58,11.67
FSTL1; MIR198,10.74
HGD,5.55
RABL3,9.07
POLQ,10.15
HCLS1,6.14
GOLGB1,10.77
IQCB1,11.14
ILDR1,6.02
CCDC58,10.5
WDR5B,8.42
KPNA1,10.85
KPNA1,10.59
PARP9,9.7
HSPBAP1,7.3
SEMA5B,5.59
ADCY5,6.7
HACD2,14.82
MYLK,12.03
CCDC14,13.81
ROPN1,6.24
ITGB5,10.95
MUC13,3.87
HEG1,8.5
SLC12A8,6.74
ZNF148,12.86
SNX4,11.26
OSBPL11,9.9
ALG1L,5.81
SLC41A3,10.45
ALDH1L1,6.62
KLF15,4.7
ZXDC,9.93
UROC1,5.65
C3orf22,4.24
TPRA1,10.43
goyborbu; MCM2,6.43
MGLL,12.9
DNAJB8,4.77
GATA2,5.45
LINC01565,6.19
RPN1,14.22
KIAA1257,4.39
RAB43,6.72
H1FX,5.64
EFCAB12,3.58
MBD4,10.35
PLXND1,7.05
TMCC1,8.13
PIK3R4,9.87
ASTE1,7.87
MRPL3,12.26
CPNE4,4.84
CPNE4,4.96
TOPBP1,12.84
RAB6B,7.53
C3orf36,6.31
SLCO2A1,3.84
AMOTL2; MIR6827; RPL39P5,6.67
ANAPC13,11.91
KY,5.42
MSL2,10.99
STAG1,12.5
DZIP1L,7.94
A4GNT,4.63
DBR1,11.46
NME9,5.74
CEP70,10.96
FOXL2,3.49
PRR23A,4.34
PRR23B,4.57
PRR23C,6.92
COPB2,12.79
RBP2,4.95
RBP1,4.77
NMNAT3,5.98
TFDP2,10.87
GK5,10.24
XRN1,10.62
ATR,7.67
PCOLCE2,8.7
PAQR9,6.49
SLC9A9,5.76
PLOD2,16.04
PLSCR4,5.9
PLSCR1,9.75
PLSCR5,4.27
ZIC4,5.25
HLTF,12.45
HLTF,7.64
CP,10.64
TM4SF18,14.85
TM4SF18,9.55
TM4SF1,17.4
WWTR1,11.52
COMMD2,12.39
TMEM183B,11.89
ERICH6,4.77
SIAH2,10.16
GPR171,4.67
P2RY14,4.71
GPR87,3.66
P2RY13,4.8
P2RY12,4.03
IGSF10,4.6
TMEM14EP,5.96
DHX36,12.35
GPR149,4.05
C3orf33,8.99
SLC33A1,10.51
SSR3,15.02
TIPARP,9.65
CCNL1,12.47
VEPH1,6.55
SHOX2,4.48
LXN,5.41
RARRES1,4.13
KPNA4,12.66
B3GALNT1,9.86
SPTSSB,4.86
SI,4.21
SLITRK3,3.83
BCHE,4.6
ZBBX,3.73
PDCD10,14.06
GOLIM4,12.21
MECOM,5.17
ACTRT3,6.0
LRRC34,4.86
LRRC31,4.6
PHC3,14.33
SLC7A14,4.15
RPL22L1,10.68
EIF5A2,12.88
SLC2A2,6.2
TNIK,8.42
PLD1,11.12
PLD1,6.65
GHSR,3.94
TNFSF10,8.68
NCEH1,14.32
SPATA16,4.35
TBL1XR1,11.74
ZMAT3,8.26
KCNMB3,8.89
GNB4,9.13
MRPL47,11.96
USP13,6.5
PEX5L,3.63
PEX5L,5.89
DNAJC19,10.59
DCUN1D1,11.62
MCCC1,10.84
LAMP3,8.02
MCF2L2,6.48
KLHL6,3.87
YEATS2,4.28
MAP6D1,6.89
PARL,10.32
ABCC5,8.01
ALG3,13.44
CAMK2N2,6.53
CLCN2,6.29
THPO,5.18
MAGEF1,11.35
C3orf70,5.9
EHHADH,8.26
LIPH,10.2
IGF2BP2,12.3
dorsnarby; IGF2BP2,7.61
TRA2B,14.1
RFC4,13.12
RPL39L,6.43
MASP1,5.65
SST,5.03
RTP2,6.28
BCL6,12.66
P3H2,15.12
CLDN1,15.83
TMEM207,5.88
GMNC,4.12
UTS2B,6.08
FGF12,6.63
MB21D2,9.22
ATP13A5,6.42
CPN2,5.02
LRRC15,5.66
GP5,3.96
ATP13A3,7.71
ATP13A3,6.81
TMEM44,5.04
LSG1,12.53
XXYLT1,5.69
ACAP2,10.43
ACAP2; ACAP2-IT1; AC090018.3,8.08
PPP1R2,9.92
APOD,5.91
MUC4,5.03
TNK2,5.7
TFRC,13.62
TFRC,4.93
ZDHHC19,5.85
UBXN7,9.86
RNF168,11.07
SMCO1,3.8
WDR53,10.2
CEP19,8.25
NCBP2,13.11
PIGZ,6.59
MFI2,5.76
DLG1,13.78
BDH1,4.57
RUBCN; MIR922,9.32
IQCG,7.96
CAV3,7.04
ARPC4,11.37
TTLL3,10.49
ARPC4-TTLL3,9.15
CAND2,6.52
TPRXL,9.96
TMEM43,13.03
OXNAD1,10.39
OXNAD1,5.95
OXSM,5.27
OXSM,8.76
XYLB,9.44
RPL14,15.66
TRAK1,8.26
ACKR2,7.29
ZNF662,7.15
KRBOX1,9.38
FAM198A,4.41
ZKSCAN7,7.29
ZNF660,5.18
ZNF197,8.33
EXOSC7,10.66
CLEC3B,4.97
TDGF1,4.85
TDGF1,3.83
P4HTM,4.9
WDR6,7.11
RBM6,11.69
RBM5,13.18
SEMA3B; MIR6872,4.26
CYB561D2,3.94
CYB561D2,5.24
RAD54L2,7.61
TEX264,7.29
IQCF4; IQCF3,5.13
IQCF3,7.75
ABHD14A,4.4
ACY1,6.42
ABHD14A-ACY1,8.96
SLMAP,5.15
SLMAP,10.28
GXYLT2,6.45
PPP4R2,13.64
ROBO2,4.33
ST3GAL6,5.6
ST3GAL6,5.73
NXPE3,9.36
NFKBIZ,12.85
CD200; RP11-90K6.1,4.55
CD200,4.74
C3orf30,4.32
UPK1B,12.04
PDIA5; MIR7110,8.68
SEC22A,10.75
ALG1L2,9.27
TF,6.12
SRPRB,11.21
EPHB1,4.05
EPHB1,5.98
NCK1,11.43
IL20RB,6.67
U2SURP,14.68
CHST2,9.28
C3orf58,10.54
ZIC1,11.17
ZIC1,3.51
TSC22D2,12.66
MFSD1,12.76
NAALADL2,9.57
NAALADL2,4.63
KCNMB2,5.29
FXR1,14.63
DNAJB11,12.86
DNAJB11,8.8
TPRG1,8.11
TPRG1,6.73
TPRG1,4.61
SLC51A,6.83
SLC51A,6.94
NRROS,6.0
PIGX,10.82
IL5RA,5.89
SUMF1,6.19
SUMF1,7.7
SSUH2,5.05
SSUH2,5.56
SRGAP3,6.19
THUMPD3-AS1,9.62
EMC3,10.74
LOC401052; AC022007.5; TMEM111,6.4
VGLL4,8.65
MKRN2OS,4.93
MKRN2OS,5.58
METTL6,8.87
COLQ,6.26
TBC1D5,9.0
SATB1,7.15
EFHB,10.1
EFHB,5.4
ZNF385D,7.52
ZNF385D,4.45
HHATL,5.22
CCDC13,7.26
HIGD1A,14.05
ANO10,11.23
ANO10,5.41
PRSS50,4.83
PRSS46,5.31
PRSS45,7.24
CCDC51,6.15
PFKFB4; MIR6823,6.61
UCN2,4.16
SLC26A6; MIR6824,7.19
CELSR3; MIR4793,5.77
IP6K2,9.72
C3orf62,7.0
USP4,9.94
AMIGO3,6.92
GMPPB,6.22
IFRD2,7.58
HYAL3,4.45
NAT6,6.59
HYAL2,6.24
TUSC2,8.15
PCBP4,8.16
ABHD14B,6.83
TLR9,3.75
TWF2,10.11
ITIH4,5.44
MUSTN1,4.85
TMEM110-MUSTN1; TMEM110,7.73
TMEM110,7.45
SFMBT1,10.86
RFT1,9.43
HESX1,5.99
CLDND1,13.8
CPOX,8.69
RETNLB,4.56
CCDC80; LINC01279,11.16
POPDC2,5.15
COX17,11.65
TXNRD3,5.05
TXNRD3NB; TXNRD3,5.67
RUVBL1,11.03
RAB43,9.39
ISY1,10.21
CNBP,13.6
ISY1-RAB43,8.57
NPHP3-ACAD11,9.24
ACAD11,7.64
NPHP3,8.93
RYK,12.17
PIK3CB,12.26
PIK3CB,10.67
PIK3CB,11.97
PLSCR2,7.6
ANKUB1,5.68
ANKUB1,6.16
PFN2,11.47
SERP1,9.01
SERP1,6.18
CLRN1,5.46
PLCH1,7.34
IFT80,11.65
TRIM59,12.48
SERPINI2,5.81
WDR49,5.17
CCDC39,5.38
CCDC39,5.08
TMEM41A,13.2
ETV5,10.36
DGKG,4.37
CRYGS,6.22
TBCCD1,8.21
ATP13A4,3.63
ATP13A3,13.01
TM4SF19-TCTEX1D2,9.07
PCYT1A,11.12
TCTEX1D2,9.01
TM4SF19,8.88
ZNF595,12.74
ZNF718,10.13
ZNF141,5.52
PIGG,8.56
PDE6B,6.35
MYL5,7.04
PCGF3,9.65
TMEM175,8.66
IDUA,6.5
FGFRL1,8.53
CTBP1-AS2,8.29
MAEA,10.21
UVSSA,6.24
CRIPAK,7.18
TACC3,11.07
FGFR3,4.31
WHSC1,11.68
C4orf48,6.28
NAT8L,5.73
SH3BP2,6.86
ADD1,12.6
GRK4,4.39
GRK4,5.33
HTT,10.87
MSANTD1,3.75
RGS12,7.21
HGFAC,3.95
DOK7,9.48
ADRA2C,7.87
ZBTB49,7.51
NSG1; D4S234E,5.82
MSX1,3.75
STK32B,9.44
LINC01587,5.51
WFS1,8.21
MAN2B2,10.02
MRFAP1,15.43
BLOC1S4,7.51
KIAA0232,9.03
TBC1D14,11.37
TADA2B,8.96
TADA2B,5.15
SORCS2,5.02
LOC389199; AC097381.1,5.43
SH3TC1,8.06
HTRA3,6.59
HTRA3,5.63
TRMT44,6.38
LOC650293,5.39
USP17L10,4.26
USP17L11; USP17L18; USP17L20,4.59
USP17L12,4.25
USP17L13,4.9
USP17L15,4.71
USP17L17,4.65
USP17L18; USP17L11,4.41
USP17L19,4.4
USP17L22; USP17L20,5.22
USP17L21,4.14
USP17L22,4.0
USP17L23,4.91
USP17L24; USP17L26; USP17L5; USP17L27; USP17L29; USP17L30,5.87
USP17L25; USP17L27,5.87
USP17L26; USP17L24,4.72
USP17L28; USP17L5; USP17L24,4.1
USP17L27; USP17L28,3.77
USP17L28; USP17L30,3.77
USP17L29; USP17L5,3.77
USP17L25; USP17L30,3.77
DEFB131,5.48
DRD5,5.19
WDR1,5.76
CPEB2,11.52
C1QTNF7,3.78
CC2D2A,7.37
CC2D2A,4.9
CD38,5.59
CLRN2,4.69
LAP3,12.61
LAP3,6.49
MED28,10.53
NCAPG,14.28
SLIT2,5.6
SLIT2,5.38
PACRGL,9.27
RP11-362J17.1; PACRGL,4.76
GBA3,5.41
CDC42,7.79
ZCCHC4,8.96
ANAPC4,9.63
SLC34A2,6.76
SMIM20,10.22
RBPJ,11.64
TBC1D19,10.46
PCDH7,4.06
DTHD1,4.2
NWD2,4.96
C4orf19,6.01
PGM2,11.13
TBC1D1,9.46
PTTG2,8.1
KLF3,11.33
FAM114A1,7.73
KLHL5,13.53
WDR19,11.17
KLB,5.73
LIAS,6.35
UBE2K,13.8
N4BP2,9.5
RHOH,5.44
CHRNA9,3.95
NSUN7,5.7
UCHL1,11.87
LIMCH1,5.65
TMEM33,11.73
DCAF4L1,5.72
SLC30A9,14.18
SHISA3,6.9
GRXCR1,4.99
GUF1,11.77
GABRB1,3.64
ATP10D,5.85
SLAIN2,14.31
SLC10A4,4.31
ZAR1,5.34
OCIAD1,12.78
OCIAD1,8.3
CWH43,4.48
DCUN1D4,11.17
SPATA18,5.04
RASL11B,4.41
GSX2,7.47
KIT,3.87
SRD5A3,10.95
TMEM165,12.5
EXOC1,11.99
CEP135,12.32
KIAA1211,4.99
PAICS,15.6
SRP72,14.69
ARL9,4.65
THEGL,5.27
REST,10.19
POLR2B,14.55
STAP1,4.23
TMPRSS11E,5.5
UGT2B10,4.86
UGT2B7,6.25
CSN1S1,4.44
STATH,5.1
HTN3,4.33
HTN1,4.29
ODAM,5.88
FDCSP,5.2
CSN3,5.23
CABS1,3.69
PROL1,4.91
MUC7,5.01
AMTN,3.6
AMBN,4.56
ENAM,5.55
UTP3,10.32
RUFY3,7.23
SLC4A4,7.54
NPFFR2,4.71
ALB,7.15
AFP,4.37
AFM,4.16
CXCL8,10.07
PF4V1,7.0
CXCL1,8.05
MTHFD2L,10.11
EPGN,5.05
EREG,12.91
AREG,9.61
PARM1,7.06
THAP6,9.08
C4orf26,4.5
USO1,14.19
USO1,9.79
ART3,4.34
FAM47E; FAM47E-STBD1; STBD1,3.61
SHROOM3,8.44
SEPT11,14.19
CXCL13,4.41
MRPL1,11.13
FRAS1,9.38
ANXA3,14.04
BMP2K,13.34
PRDM8,6.24
BMP3,6.27
ENOPH1,12.89
THAP9,6.6
COPS4,10.98
MRPS18C,9.02
GPAT3,10.16
CDS1,7.03
ARHGAP24,11.78
PTPN13,9.52
PTPN13,5.07
AFF1,13.3
NUDT9,11.64
DSPP,6.93
DMP1,5.32
IBSP,5.52
MEPE,4.94
SPP1,13.45
PKD2,9.95
RP11-10L7.1; HERC6,6.42
HERC6,8.03
HERC5,7.33
TIGD2,6.51
MMRN1,5.58
CCSER1,3.95
GRID2,5.3
ATOH1,4.75
SMARCAD1,11.73
PDLIM5,13.67
BMPR1B,5.81
PDHA2,3.46
RAP1GDS1,8.56
METAP1,11.13
C4orf17,4.39
MTTP,6.42
DAPP1,3.87
NFKB1,10.31
LOC105377348; RP11-10L12.4; UBE2D3; pugo,5.55
UBE2D3,4.58
CISD2,13.35
TET2,9.93
GSTCD,13.03
NPNT,6.74
AIMP1,13.41
SGMS2,9.68
SGMS2,5.0
CYP2U1,9.68
HADH,9.1
RPL34,14.92
OSTC,11.56
SEC24B,11.48
CCDC109B,12.83
PLA2G12A,5.6
GAR1,12.86
RRH,5.21
LRIT3,5.19
EGF,5.8
C4orf32,11.94
AP1AR,11.05
ALPK1,7.71
LARP7,13.13
LARP7,4.63
ANK2,8.68
ANK2,6.33
UGT8,5.78
MTRNR2L13,4.49
NDST3,6.66
METTL14,12.23
SYNPO2,5.29
MYOZ2,5.49
USP53,10.73
EXOSC9,13.04
KIAA1109,9.85
ADAD1,4.85
BBS12,7.98
FGF2,14.87
SPATA5,12.01
SPATA5,7.2
SPRY1,12.88
FAT4,11.02
INTU,7.52
SLC25A31,5.25
HSPA4L,13.78
PLK4,10.23
ABHD18,8.53
LARP1B,10.31
JADE1,10.28
C4orf33,7.89
PCDH10,4.25
NOCT,10.06
RAB33B,10.69
MGST2,8.69
SCOC,12.49
ELMOD2,12.85
ZNF330,10.28
IL15,6.06
USP38,10.18
GAB1,12.03
SMARCA5,12.91
HHIP,10.82
ABCE1,14.6
SMAD1,9.94
MMAA,8.33
C4orf51,5.89
LSM6,10.39
LSM6,6.57
POU4F2,4.08
EDNRA,5.12
TMEM184C,13.05
ARHGAP10,7.57
ARHGAP10,5.85
DCLK2,8.36
MAB21L2,8.04
RPS3A; SNORD73A,15.48
RPS3A,8.58
PRSS48,4.89
FAM160A1,7.18
ARFIP1,12.19
FHDC1,8.86
TRIM2,10.33
MND1,10.23
KIAA0922,10.48
TLR2,5.34
FGB,12.84
LRAT,5.73
RBM46,3.88
NPY2R,5.91
GUCY1A3,3.65
GUCY1B3,5.8
TDO2,6.39
GLRB,6.43
GRIA2,5.48
GRIA2,3.66
RXFP1,3.84
ETFDH,8.1
FNIP2,6.89
NPY5R,5.09
TMA16,9.06
MARCH1,5.26
APELA,4.64
FAM218A,4.43
TRIM60,4.43
KLHL2,9.12
MSMO1,14.36
CPE,5.09
TLL1,4.4
ANXA10,5.45
PALLD,9.81
CLCN3,12.0
GALNTL6,3.8
GALNT7,4.26
SAP30,9.1
HAND2-AS1,4.2
CEP44,8.07
WDR17,4.0
SPCS3,12.97
NEIL3,12.61
TENM3,5.08
WWC2,9.5
CDKN2AIP,8.46
ING2,8.01
TRAPPC11,9.39
PRIMPOL,8.04
HELT,4.16
LOC101928877; RP11-386B13.3; SLC25A4,3.87
SLC25A4,11.36
SNX25,9.5
ANKRD37,7.2
C4orf47,6.12
TLR3,9.22
F11,5.04
ZFP42,3.68
TRIML1,5.72
FRG1,11.0
DUX4L8,5.86
DUX4L7,6.34
DUX4L6,6.26
DUX4L5,6.26
DUX4L1,6.26
DUX4L3,6.26
DUX4L2,6.26
ZNF721; ABCA11P,11.3
ZNF721,8.75
ATP5I,10.35
MFSD7,4.9
CPLX1,5.3
GAK,7.82
DGKQ,6.5
SLC26A1,8.49
SPON2,10.31
CTBP1,11.43
NKX1-1,8.86
FAM53A,5.98
SLBP,10.39
TMEM129,7.07
LETM1,10.01
HAUS3; POLN,6.7
MXD4; MIR4800,8.42
MXD4,3.9
ZFYVE28,5.15
TNIP2,8.22
MFSD10,9.5
NOP14,10.15
LRPAP1,11.08
OTOP1,3.69
TMEM128,9.23
LYAR,10.89
STX18,9.6
CYTL1,3.9
EVC2,4.9
CRMP1,6.19
C4orf50,6.71
