gene,value
CCDC12,10.07
SETD2,10.14
KIF9,6.59
PTPN23,3.35
SCAP,10.56
ELP6,7.27
CSPG5,5.77
SMARCC1,12.89
MAP4,14.62
MAP4,8.14
CDC25A,7.51
NME6,8.0
SPINK8,5.12
PLXNB1,6.08
SHISA5,15.84
COL7A1; MIR711,9.42
UQCRC1,11.89
TMEM89,7.54
NCKIPSD,7.57
PRKAR2A,9.51
SLC25A20,7.29
ARIH2OS,3.91
WDR6,5.42
DALRD3,10.08
IMPDH2,12.59
QRICH1,13.02
QRICH1,7.02
QARS; MIR6890,11.52
USP19,9.21
LAMB2,7.4
CCDC71,6.01
C3orf84,3.72
CDHR4,6.67
GPX1,10.76
RHOA,15.63
AMT; NICN1,7.18
MST1,5.24
IP6K1,8.76
UBA7; MIR5193,5.48
TRAIP,9.92
CAMKV,4.37
MST1R,6.61
MON1A,6.0
HYAL1,8.98
RASSF1,5.29
ZMYND10,9.05
NPRL2,5.94
TMEM115,9.03
CACNA2D2,4.24
C3orf18,5.73
CISH,6.19
VPRBP,9.6
IQCF6,4.02
IQCF5,5.93
IQCF1,4.0
RRP9,7.9
RPL29,11.47
DUSP7,7.8
POC1A,7.91
WDR82,12.62
BAP1,8.08
SEMA3G,6.93
TNNC1,7.83
NT5DC2,12.18
PBRM1,10.78
GLT8D1,10.46
NEK4,10.05
TKT,15.03
DCP1A,7.73
CHDH,4.85
ACTR8,8.59
SELK,10.28
LRTM1,3.78
WNT5A,7.99
WNT5A,4.59
ERC2,6.24
FAM208A,12.75
ARHGEF3,6.17
IL17RD,7.3
ASB14,4.59
DNAH12,3.84
ARF4,13.96
DENND6A,11.2
DNASE1L3,5.41
PDHB,11.01
ACOX2,5.2
FAM107A,6.06
FAM3D,5.6
C3orf67,8.11
FHIT,6.07
FEZF2,4.88
CADPS,4.39
THOC7,13.3
PSMD6,12.19
PRICKLE2,9.39
ADAMTS9,3.73
MAGI1,8.05
LRIG1,10.92
SUCLG2,9.27
FAM19A4,5.57
EOGT,11.89
TMF1,11.07
UBA3,15.09
LMOD3,4.52
FRMD4B,8.61
FOXP1,12.35
FOXP1; RP11-298C2.1,7.43
EIF4E3,6.03
PROK2,6.79
RYBP,9.0
SHQ1,10.11
PDZRN3,5.1
CNTN3,4.21
ZNF717,10.39
ROBO1,11.85
GBE1,10.97
VGLL3,5.87
POU1F1,5.62
CGGBP1,13.45
PROS1,10.22
STX19,5.08
DHFRL1,10.12
MTRNR2L2; MTRNR2L12,16.82
MINA,12.76
GABRR3,4.26
DCBLD2,16.17
FILIP1L,13.8
TOMM70A,12.37
ABI3BP,13.33
IMPG2,4.99
SENP7,9.34
ZBTB11,9.75
RPL24,14.13
CBLB,9.65
BBX,6.21
CD47,12.24
IFT57,8.91
MYH15,9.23
KIAA1524,12.57
GUCA1C,4.26
MORC1,4.15
DPPA2,3.83
DPPA4,5.08
ZBED2,6.78
GCSAM,3.72
SLC9C1,4.25
BTLA,4.25
ATG3,12.92
CD200R1L,4.33
CD200R1,3.68
C3orf17,9.35
CFAP44,6.93
SPICE1,8.28
USF3,9.65
NAA50,13.9
CCDC191,7.75
DRD3,4.45
ZNF80,5.12
ZBTB20; MIR568,13.4
LSAMP,4.9
IGSF11,6.17
B4GALT4,9.41
TMEM39A,10.95
CD80,5.44
GSK3B,13.47
GPR156,6.04
LRRC58,11.69
FSTL1; MIR198,10.62
HGD,5.44
RABL3,9.64
POLQ,9.82
HCLS1,6.09
GOLGB1,11.03
IQCB1,10.88
ILDR1,5.99
CCDC58,10.47
WDR5B,8.02
KPNA1,10.49
KPNA1,10.23
PARP9,10.36
HSPBAP1,7.05
SEMA5B,5.51
ADCY5,6.54
HACD2,15.58
MYLK,12.16
CCDC14,13.87
ROPN1,6.27
ITGB5,9.76
MUC13,3.93
HEG1,9.1
SLC12A8,7.42
ZNF148,12.94
SNX4,10.99
OSBPL11,9.66
ALG1L,5.56
SLC41A3,10.3
ALDH1L1,6.74
KLF15,4.67
ZXDC,9.74
UROC1,5.54
C3orf22,4.07
TPRA1,10.9
goyborbu; MCM2,6.29
MGLL,12.66
DNAJB8,5.14
GATA2,5.1
LINC01565,5.96
RPN1,14.43
KIAA1257,4.68
RAB43,6.74
H1FX,5.54
EFCAB12,3.8
MBD4,10.5
PLXND1,7.24
TMCC1,8.25
PIK3R4,10.04
ASTE1,7.92
MRPL3,12.55
CPNE4,4.47
CPNE4,4.86
TOPBP1,12.72
RAB6B,7.7
C3orf36,6.75
SLCO2A1,4.25
AMOTL2; MIR6827; RPL39P5,6.86
ANAPC13,11.35
KY,5.71
MSL2,11.22
STAG1,12.25
DZIP1L,8.38
A4GNT,4.47
DBR1,11.61
NME9,5.87
CEP70,11.19
FOXL2,3.48
PRR23A,3.96
PRR23B,4.56
PRR23C,6.57
COPB2,13.07
RBP2,4.88
RBP1,4.85
NMNAT3,5.96
TFDP2,10.99
GK5,9.51
XRN1,10.4
ATR,7.37
PCOLCE2,7.92
PAQR9,5.02
SLC9A9,6.33
PLOD2,15.71
PLSCR4,6.61
PLSCR1,10.22
PLSCR5,4.49
ZIC4,5.29
HLTF,12.15
HLTF,7.63
CP,10.86
TM4SF18,13.98
TM4SF18,8.36
TM4SF1,17.22
WWTR1,11.12
COMMD2,12.58
TMEM183B,11.94
ERICH6,4.71
SIAH2,9.79
GPR171,4.35
P2RY14,5.0
GPR87,3.73
P2RY13,4.76
P2RY12,3.79
IGSF10,4.44
TMEM14EP,5.1
DHX36,12.5
GPR149,3.98
C3orf33,8.95
SLC33A1,10.89
SSR3,14.72
TIPARP,9.18
CCNL1,12.66
VEPH1,7.07
SHOX2,4.97
LXN,5.42
RARRES1,4.04
KPNA4,13.18
B3GALNT1,10.71
SPTSSB,5.03
SI,3.91
SLITRK3,3.53
BCHE,4.78
ZBBX,3.65
PDCD10,14.09
GOLIM4,12.08
MECOM,5.21
ACTRT3,6.32
LRRC34,4.37
LRRC31,4.41
PHC3,14.19
SLC7A14,4.04
RPL22L1,10.55
EIF5A2,12.26
SLC2A2,4.99
TNIK,9.0
PLD1,10.93
PLD1,6.0
GHSR,4.34
TNFSF10,9.75
NCEH1,13.45
SPATA16,3.96
TBL1XR1,12.08
ZMAT3,8.31
KCNMB3,9.23
GNB4,9.82
MRPL47,11.98
USP13,6.29
PEX5L,3.7
PEX5L,5.96
DNAJC19,11.01
DCUN1D1,11.66
MCCC1,11.38
LAMP3,7.79
MCF2L2,6.49
KLHL6,3.66
YEATS2,4.34
MAP6D1,6.62
PARL,10.46
ABCC5,8.17
ALG3,13.18
CAMK2N2,6.39
CLCN2,6.06
THPO,5.08
MAGEF1,11.1
C3orf70,6.24
EHHADH,8.65
LIPH,11.09
IGF2BP2,12.01
dorsnarby; IGF2BP2,7.21
TRA2B,14.05
RFC4,13.25
RPL39L,6.2
MASP1,6.47
SST,4.88
RTP2,6.51
BCL6,12.51
P3H2,14.46
CLDN1,15.87
TMEM207,6.0
GMNC,4.69
UTS2B,6.46
FGF12,8.02
MB21D2,8.97
ATP13A5,5.97
CPN2,4.86
LRRC15,5.49
GP5,3.88
ATP13A3,7.3
ATP13A3,6.5
TMEM44,5.75
LSG1,12.36
XXYLT1,6.51
ACAP2,10.14
ACAP2; ACAP2-IT1; AC090018.3,7.66
PPP1R2,9.71
APOD,5.36
MUC4,4.71
TNK2,5.56
TFRC,13.17
TFRC,5.19
ZDHHC19,5.92
UBXN7,9.5
RNF168,10.15
SMCO1,3.61
WDR53,9.76
CEP19,7.92
NCBP2,13.15
PIGZ,7.28
MFI2,5.83
DLG1,14.14
BDH1,4.83
RUBCN; MIR922,8.75
IQCG,7.57
CAV3,7.21
ARPC4,11.77
TTLL3,10.71
ARPC4-TTLL3,9.36
CAND2,6.79
TPRXL,9.58
TMEM43,12.71
OXNAD1,10.73
OXNAD1,6.26
OXSM,5.2
OXSM,8.54
XYLB,9.03
RPL14,15.7
TRAK1,8.5
ACKR2,7.13
ZNF662,7.42
KRBOX1,10.03
FAM198A,4.7
ZKSCAN7,8.4
ZNF660,5.13
ZNF197,8.59
EXOSC7,10.75
CLEC3B,5.45
TDGF1,4.82
TDGF1,3.74
P4HTM,4.55
WDR6,7.35
RBM6,12.11
RBM5,13.24
SEMA3B; MIR6872,4.64
CYB561D2,4.23
CYB561D2,5.01
RAD54L2,7.7
TEX264,7.17
IQCF4; IQCF3,5.37
IQCF3,8.02
ABHD14A,4.71
ACY1,6.78
ABHD14A-ACY1,9.01
SLMAP,5.37
SLMAP,9.78
GXYLT2,7.77
PPP4R2,13.41
ROBO2,3.96
ST3GAL6,7.35
ST3GAL6,5.34
NXPE3,9.48
NFKBIZ,12.0
CD200; RP11-90K6.1,4.47
CD200,4.59
C3orf30,4.35
UPK1B,11.86
PDIA5; MIR7110,8.57
SEC22A,10.71
ALG1L2,9.06
TF,6.12
SRPRB,11.01
EPHB1,4.17
EPHB1,5.94
NCK1,12.07
IL20RB,6.47
U2SURP,14.37
CHST2,9.01
C3orf58,10.57
ZIC1,12.02
ZIC1,3.56
TSC22D2,12.65
MFSD1,12.97
NAALADL2,9.67
NAALADL2,4.41
KCNMB2,5.06
FXR1,14.57
DNAJB11,12.67
DNAJB11,8.63
TPRG1,8.04
TPRG1,6.81
TPRG1,4.67
SLC51A,6.71
SLC51A,7.27
NRROS,6.02
PIGX,11.24
IL5RA,5.99
SUMF1,5.9
SUMF1,7.9
SSUH2,5.15
SSUH2,5.77
SRGAP3,5.76
THUMPD3-AS1,9.53
EMC3,11.38
LOC401052; AC022007.5; TMEM111,6.72
VGLL4,9.15
MKRN2OS,4.98
MKRN2OS,5.66
METTL6,9.18
COLQ,6.14
TBC1D5,8.87
SATB1,7.17
EFHB,6.07
EFHB,5.37
ZNF385D,9.13
ZNF385D,4.74
HHATL,5.28
CCDC13,7.36
HIGD1A,13.76
ANO10,11.85
ANO10,6.04
PRSS50,4.64
PRSS46,5.11
PRSS45,7.1
CCDC51,6.24
PFKFB4; MIR6823,7.31
UCN2,4.07
SLC26A6; MIR6824,7.71
CELSR3; MIR4793,6.09
IP6K2,9.3
C3orf62,6.5
USP4,9.71
AMIGO3,7.04
GMPPB,6.73
IFRD2,7.56
HYAL3,4.89
NAT6,6.73
HYAL2,6.11
TUSC2,7.9
PCBP4,9.38
ABHD14B,6.35
TLR9,3.72
TWF2,10.32
ITIH4,5.21
MUSTN1,4.8
TMEM110-MUSTN1; TMEM110,7.84
TMEM110,7.88
SFMBT1,10.75
RFT1,9.21
HESX1,6.08
CLDND1,13.49
CPOX,9.14
RETNLB,4.37
CCDC80; LINC01279,12.14
POPDC2,5.62
COX17,11.47
TXNRD3,5.05
TXNRD3NB; TXNRD3,5.68
RUVBL1,10.49
RAB43,9.61
ISY1,10.29
CNBP,13.69
ISY1-RAB43,8.76
NPHP3-ACAD11,9.25
ACAD11,7.7
NPHP3,9.21
RYK,12.35
PIK3CB,11.43
PIK3CB,9.8
PIK3CB,11.33
PLSCR2,7.84
ANKUB1,5.67
ANKUB1,6.09
PFN2,12.88
SERP1,8.91
SERP1,5.77
CLRN1,5.72
PLCH1,7.91
IFT80,11.31
TRIM59,12.66
SERPINI2,5.62
WDR49,5.06
CCDC39,5.09
CCDC39,5.4
TMEM41A,13.23
ETV5,9.69
DGKG,4.06
CRYGS,5.73
TBCCD1,8.03
ATP13A4,3.62
ATP13A3,12.97
TM4SF19-TCTEX1D2,7.85
PCYT1A,10.99
TCTEX1D2,9.51
TM4SF19,7.06
ZNF595,12.53
ZNF718,10.61
ZNF141,5.6
PIGG,8.54
PDE6B,6.15
MYL5,7.18
PCGF3,9.05
TMEM175,8.43
IDUA,7.08
FGFRL1,8.38
CTBP1-AS2,8.63
MAEA,10.06
UVSSA,6.01
CRIPAK,7.21
TACC3,10.37
FGFR3,4.61
WHSC1,11.41
C4orf48,6.4
NAT8L,6.05
SH3BP2,9.12
ADD1,12.98
GRK4,4.62
GRK4,5.79
HTT,11.19
MSANTD1,3.7
RGS12,7.41
HGFAC,3.89
DOK7,9.05
ADRA2C,7.68
ZBTB49,7.38
NSG1; D4S234E,5.99
MSX1,3.8
STK32B,11.01
LINC01587,5.49
WFS1,8.63
MAN2B2,9.79
MRFAP1,15.47
BLOC1S4,7.56
KIAA0232,8.97
TBC1D14,11.54
TADA2B,8.67
TADA2B,5.59
SORCS2,5.22
LOC389199; AC097381.1,5.14
SH3TC1,8.03
HTRA3,6.64
HTRA3,5.69
TRMT44,6.22
LOC650293,5.13
USP17L10,4.46
USP17L11; USP17L18; USP17L20,4.96
USP17L12,4.3
USP17L13,5.1
USP17L15,4.5
USP17L17,4.68
USP17L18; USP17L11,4.75
USP17L19,4.3
USP17L22; USP17L20,5.65
USP17L21,4.53
USP17L22,4.4
USP17L23,5.13
USP17L24; USP17L26; USP17L5; USP17L27; USP17L29; USP17L30,6.17
USP17L25; USP17L27,6.17
USP17L26; USP17L24,4.98
USP17L28; USP17L5; USP17L24,4.14
USP17L27; USP17L28,3.39
USP17L28; USP17L30,3.39
USP17L29; USP17L5,3.39
USP17L25; USP17L30,3.39
DEFB131,5.64
DRD5,5.06
WDR1,5.46
CPEB2,11.61
C1QTNF7,3.97
CC2D2A,6.92
CC2D2A,5.04
CD38,5.1
CLRN2,4.92
LAP3,12.58
LAP3,6.6
MED28,10.56
NCAPG,14.42
SLIT2,5.47
SLIT2,4.95
PACRGL,9.61
RP11-362J17.1; PACRGL,4.51
GBA3,5.15
CDC42,8.13
ZCCHC4,8.4
ANAPC4,9.67
SLC34A2,8.18
SMIM20,10.35
RBPJ,11.7
TBC1D19,11.7
PCDH7,4.08
DTHD1,4.25
NWD2,4.79
C4orf19,5.93
PGM2,10.92
TBC1D1,9.58
PTTG2,8.1
KLF3,11.37
FAM114A1,7.47
KLHL5,13.8
WDR19,11.6
KLB,5.51
LIAS,6.14
UBE2K,14.01
N4BP2,8.05
RHOH,5.57
CHRNA9,3.76
NSUN7,6.13
UCHL1,11.85
LIMCH1,5.1
TMEM33,12.2
DCAF4L1,5.69
SLC30A9,14.3
SHISA3,6.97
GRXCR1,4.94
GUF1,11.89
GABRB1,3.52
ATP10D,7.32
SLAIN2,14.19
SLC10A4,5.02
ZAR1,5.89
OCIAD1,12.93
OCIAD1,8.23
CWH43,4.49
DCUN1D4,11.27
SPATA18,5.04
RASL11B,4.51
GSX2,7.37
KIT,4.02
SRD5A3,11.1
TMEM165,12.77
EXOC1,12.45
CEP135,11.77
KIAA1211,4.57
PAICS,15.34
SRP72,14.58
ARL9,4.68
THEGL,4.84
REST,10.26
POLR2B,14.75
STAP1,3.96
TMPRSS11E,4.8
UGT2B10,4.54
UGT2B7,6.08
CSN1S1,4.46
STATH,4.76
HTN3,4.61
HTN1,4.1
ODAM,5.77
FDCSP,5.38
CSN3,5.2
CABS1,3.76
PROL1,4.49
MUC7,4.51
AMTN,4.0
AMBN,4.38
ENAM,4.44
UTP3,10.13
RUFY3,7.53
SLC4A4,6.58
NPFFR2,4.55
ALB,7.17
AFP,4.62
AFM,3.84
CXCL8,10.08
PF4V1,6.76
CXCL1,8.45
MTHFD2L,8.26
EPGN,4.91
EREG,11.01
AREG,8.33
PARM1,5.99
THAP6,8.8
C4orf26,4.25
USO1,14.5
USO1,9.54
ART3,4.74
FAM47E; FAM47E-STBD1; STBD1,3.32
SHROOM3,8.63
SEPT11,14.01
CXCL13,4.33
MRPL1,11.02
FRAS1,9.11
ANXA3,14.02
BMP2K,13.58
PRDM8,5.9
BMP3,5.53
ENOPH1,12.92
THAP9,6.77
COPS4,10.92
MRPS18C,9.54
GPAT3,9.7
CDS1,7.61
ARHGAP24,10.98
PTPN13,11.82
PTPN13,6.11
AFF1,13.23
NUDT9,11.35
DSPP,6.54
DMP1,5.2
IBSP,5.74
MEPE,4.71
SPP1,13.17
PKD2,10.14
RP11-10L7.1; HERC6,6.37
HERC6,8.45
HERC5,8.93
TIGD2,6.46
MMRN1,5.3
CCSER1,3.53
GRID2,5.46
ATOH1,4.32
SMARCAD1,11.46
PDLIM5,14.04
BMPR1B,5.19
PDHA2,3.61
RAP1GDS1,8.52
METAP1,10.9
C4orf17,4.2
MTTP,6.23
DAPP1,3.7
NFKB1,10.49
LOC105377348; RP11-10L12.4; UBE2D3; pugo,5.75
UBE2D3,4.03
CISD2,13.37
TET2,9.36
GSTCD,12.78
NPNT,4.38
AIMP1,13.3
SGMS2,9.46
SGMS2,5.01
CYP2U1,9.51
HADH,9.66
RPL34,14.87
OSTC,11.76
SEC24B,11.4
CCDC109B,12.97
PLA2G12A,5.55
GAR1,12.64
RRH,4.92
LRIT3,5.38
EGF,5.79
C4orf32,11.65
AP1AR,10.74
ALPK1,7.51
LARP7,13.17
LARP7,4.07
ANK2,10.55
ANK2,6.58
UGT8,6.07
MTRNR2L13,4.06
NDST3,6.28
METTL14,12.22
SYNPO2,5.66
MYOZ2,5.48
USP53,10.31
EXOSC9,12.92
KIAA1109,10.07
ADAD1,4.55
BBS12,8.24
FGF2,14.55
SPATA5,11.81
SPATA5,7.32
SPRY1,9.82
FAT4,10.91
INTU,7.56
SLC25A31,5.16
HSPA4L,13.81
PLK4,10.19
ABHD18,8.21
LARP1B,10.08
JADE1,10.09
C4orf33,8.4
PCDH10,4.41
NOCT,9.4
RAB33B,10.87
MGST2,9.05
SCOC,12.32
ELMOD2,13.5
ZNF330,10.77
IL15,6.29
USP38,9.95
GAB1,10.7
SMARCA5,12.67
HHIP,9.85
ABCE1,14.25
SMAD1,10.29
MMAA,8.29
C4orf51,5.6
LSM6,10.56
LSM6,6.43
POU4F2,4.1
EDNRA,5.18
TMEM184C,13.29
ARHGAP10,7.51
ARHGAP10,6.28
DCLK2,11.63
MAB21L2,8.81
RPS3A; SNORD73A,15.49
RPS3A,8.28
PRSS48,4.83
FAM160A1,7.72
ARFIP1,12.11
FHDC1,9.16
TRIM2,11.46
MND1,10.23
KIAA0922,10.95
TLR2,5.23
FGB,8.21
LRAT,5.86
RBM46,3.78
NPY2R,5.88
GUCY1A3,3.73
GUCY1B3,6.14
TDO2,6.45
GLRB,7.44
GRIA2,6.0
GRIA2,3.95
RXFP1,4.38
ETFDH,9.02
FNIP2,7.46
NPY5R,5.08
TMA16,9.49
MARCH1,5.08
APELA,4.75
FAM218A,4.74
TRIM60,4.68
KLHL2,9.56
MSMO1,15.28
CPE,5.15
TLL1,4.27
ANXA10,7.31
PALLD,12.15
CLCN3,12.54
GALNTL6,3.85
GALNT7,4.94
SAP30,9.94
HAND2-AS1,4.02
CEP44,8.05
WDR17,3.92
SPCS3,13.13
NEIL3,12.9
TENM3,5.22
WWC2,9.23
CDKN2AIP,8.69
ING2,8.43
TRAPPC11,10.08
PRIMPOL,7.94
HELT,4.42
LOC101928877; RP11-386B13.3; SLC25A4,4.07
SLC25A4,12.16
SNX25,10.39
ANKRD37,7.14
C4orf47,6.39
TLR3,9.85
F11,4.98
ZFP42,3.6
TRIML1,5.74
FRG1,11.44
DUX4L8,5.8
DUX4L7,6.45
DUX4L6,6.39
DUX4L5,6.39
DUX4L1,6.39
DUX4L3,6.39
DUX4L2,6.39
ZNF721; ABCA11P,11.03
ZNF721,8.47
ATP5I,10.37
MFSD7,4.94
CPLX1,5.85
GAK,7.65
DGKQ,6.87
SLC26A1,8.57
SPON2,10.28
CTBP1,11.07
NKX1-1,9.07
FAM53A,6.18
SLBP,10.09
TMEM129,7.33
LETM1,10.16
HAUS3; POLN,7.08
MXD4; MIR4800,8.83
MXD4,3.72
ZFYVE28,5.28
TNIP2,8.25
MFSD10,9.73
NOP14,10.28
LRPAP1,10.8
OTOP1,3.61
TMEM128,9.58
LYAR,10.59
STX18,9.35
CYTL1,4.17
EVC2,4.59
CRMP1,6.43
C4orf50,7.02
JAKMIP1,3.71
PPP2R2C,3.94
MRFAP1L1,13.07
CCDC96,5.29
GRPEL1,12.72
PSAPL1,4.45
AFAP1,7.1
ABLIM2,6.22
ACOX3,8.68
HMX1,8.02
SLC2A9,4.26
WDR1,13.93
ZNF518B,4.4
CLNK,4.56
HS3ST1,5.23
RAB28,9.14
RAB28,7.1
NKX3-2,5.13
BOD1L1,10.84
LINC00504,4.93
FGFBP1,5.95
TAPT1,11.08
LDB2,3.84
FAM184B,5.22
DCAF16,12.21
LCORL,13.57
LCORL,5.73
KCNIP4,4.74
GBA3,14.64
PPARGC1A,9.92
DHX15,13.49
CCDC149,7.39
LGI2,4.94
SEPSECS,8.18
SEL1L3,12.8
CCKAR,5.27
RELL1,11.98
TLR10,5.25
TMEM156,9.27
RFC1,12.5
RPL9,13.91
UGDH,15.43
SMIM14,9.91
PDS5A,13.17
RBM47,9.56
APBB2,12.41
APBB2,8.77
PHOX2B,6.59
BEND4,4.15
ATP8A1,3.66
KCTD8,6.01
YIPF7,6.46
GNPDA2,11.23
GABRG1,3.85
GABRA2,4.52
COX7B2,5.08
GABRA4,5.35
COMMD8,11.02
CORIN,5.31
NFXL1,7.46
CNGA1,4.66
TXK,6.4
TEC,9.01
FRYL,10.0
OCIAD2,9.72
LRRC66,4.51
SGCB,4.21
USP46,9.92
ERVMER34-1,6.08
SCFD2,10.06
LNX1,4.99
CHIC2,6.66
KDR,3.87
CLOCK,10.62
PDCL2,4.99
NMU,5.74
AASDH,8.14
PPAT,13.03
SRP72,5.42
HOPX,7.78
SPINK2,6.04
NOA1,10.77
IGFBP7,15.81
TECRL,3.76
EPHA5,5.02
CENPC,10.21
UBA6,11.17
GNRHR,4.42
TMPRSS11D,4.64
TMPRSS11A,4.38
TMPRSS11F,4.45
TMPRSS11B,5.29
YTHDC1,12.4
UGT2A3,4.87
UGT2B11,5.23
UGT2B4,6.17
UGT2A2; UGT2A1,4.79
SULT1B1,4.48
CSN2,4.11
JCHAIN,4.2
GRSF1,13.6
GC,5.15
ADAMTS3,6.76
ANKRD17,12.52
RASSF6,5.24
PF4,6.78
PPBP,5.0
CXCL5,11.53
CXCL3,6.76
CXCL2,7.91
BTC,8.04
RCHY1,8.9
CDKL2,5.59
PPEF2,6.14
CXCL9,4.39
CXCL10,4.1
CXCL11,4.04
NUP54,10.61
SCARB2,11.06
CCDC158,4.75
SOWAHB,4.95
CCNI,15.69
CNOT6L,10.58
PAQR3,11.86
NAA11,5.04
GK2,4.28
ANTXR2,11.37
PRKG2,6.92
HNRNPD,14.74
HNRNPDL,15.65
TMEM150C,6.7
SCD5,11.35
LIN54,9.36
PLAC8,11.82
COQ2,11.42
HPSE,6.71
HELQ,10.01
FAM175A,9.82
NKX6-1,6.14
WDFY3,10.17
MAPK10,8.06
SLC10A6,6.7
KLHL8,9.1
SPARCL1,5.26
ABCG2,9.3
PPM1K,7.46
HERC6,5.59
PIGY; PYURF,9.23
NAP1L5,5.52
FAM13A,7.49
SNCA,8.27
HPGDS,4.53
UNC5C,3.61
STPG2,3.53
TSPAN5,12.96
EIF4E,13.14
ADH5,13.18
ADH4,4.53
ADH6,6.16
ADH1A,3.53
ADH1B,4.97
ADH1C,5.2
ADH7,4.16
TRMT10A,9.31
LAMTOR3,10.73
DNAJB14,11.11
H2AFZ,14.99
DDIT4L,3.95
PPP3CA,14.25
MANBA,10.9
UBE2D3,15.41
SLC9B1,4.96
CENPE,12.56
TACR3,3.82
CXXC4,3.68
PPA2,7.32
INTS12,13.23
TBCK,10.39
TBCK,7.8
GIMD1,6.08
DKK2,5.88
PAPSS1,10.09
LEF1,7.33
ETNPPL,3.84
COL25A1,7.54
CASP6,11.74
PLA2G12A,9.27
CFI,7.26
PITX2,8.82
TIFA,9.6
NEUROG2,5.24
ZGRF1,10.58
RPS26,15.48
CAMK2D,13.05
ARSJ,13.11
NDST4,4.31
TRAM1L1,7.34
PRSS12,6.45
SEC24D,11.08
C4orf3,10.19
FABP2,4.6
PDE5A,7.13
MAD2L1,11.7
PRDM5,4.66
NDNF,4.95
TNIP3,6.26
QRFPR,5.16
ANXA5,15.04
TMEM155,6.11
CCNA2,14.16
BBS7,11.2
TRPC3,4.92
IL2,3.56
IL21,6.79
ANKRD50,11.79
MFSD8,10.9
PGRMC2,14.42
PABPC4L,7.57
PCDH18,6.22
SLC7A11,13.73
ELF2,10.17
MAML3,6.73
MAML3,6.84
CLGN,7.26
MGAT4D,5.7
UCP1,4.39
TBC1D9,7.04
TBC1D9,5.38
INPP4B,4.87
FREM3,4.25
GYPE,5.18
GYPB,3.23
GYPA,3.92
ANAPC10,10.59
OTUD4,12.66
ZNF827,8.92
SLC10A7,7.99
TTC29,4.13
PRMT9,8.52
NR3C2,4.25
LRBA,12.01
GATB,10.14
FBXW7,7.92
TMEM154,6.69
TIGD4,4.83
RNF175,4.69
SFRP2,4.25
DCHS2,5.14
PLRG1,12.86
FGA,7.57
FGG,9.2
MAP9,5.43
ASIC5,4.7
CTSO,7.02
PDGFC,8.67
FAM198B,11.93
C4orf46,12.07
PPID,12.9
C4orf45,5.86
FSTL5,3.92
NPY1R,4.86
TKTL2,4.88
MARCH1,6.6
ANP32C,6.38
TRIM61,5.1
SPOCK3,5.7
DDX60,8.42
CBR4,11.27
SH3RF1,11.19
NEK1,10.59
C4orf27,9.64
AADAT,7.81
GALNTL6,4.63
HMGB2,12.96
SCRG1,3.76
HAND2,5.7
FBXO8,9.24
FBXO8,4.14
HPGD,6.52
GLRA3,3.24
GLRA3,4.44
GPM6A,3.32
SPATA4,6.47
ASB5,4.66
VEGFC,4.89
AGA,11.74
DCTD,10.62
WWC2-AS2,5.62
CLDN22,4.3
CLDN24,5.56
RWDD4,9.82
ENPP6,3.41
IRF2,9.3
CASP3,12.23
CENPU,11.47
ACSL1,9.61
CFAP97,11.75
UFSP2,8.34
CCDC110,5.64
PDLIM3,6.8
SORBS2,7.84
SORBS2,6.05
SORBS2,5.49
FLJ38576; RP11-173M11.6,5.28
FAT1,14.01
TRIML2,10.0
FRG2,5.86
ZNF141,10.26
ZNF141,7.47
CFAP99,6.49
RNF4,12.94
FAM193A,10.56
EVC,9.7
CRMP1,8.29
S100P,7.62
GPR78,4.31
CPZ; GPR78,8.14
FAM200B,12.92
BST1,5.67
SOD3,5.14
SOD3,6.31
PI4K2B,10.24
STIM2,7.21
STIM2,10.97
NIPAL1,5.18
NIPAL1,7.89
FIP1L1,12.46
PDGFRA,5.24
ADGRL3,5.79
ADGRL3,4.21
UGT2B28,4.64
PRR27,4.58
SMR3A,5.01
SMR3B,4.52
MOB1B,9.94
DCK,11.56
CXCL6,7.49
CCNG2,12.11
CCNG2,5.41
FGF5,12.93
C4orf22,8.82
HERC3,6.17
HERC3,5.43
HERC3,8.9
BANK1,5.53
BANK1,9.55
ARHGEF38,6.5
ARHGEF38,5.23
ENPEP,4.76
NAA15,14.81
TMEM144,9.09
RAPGEF2,6.38
RAPGEF2,8.9
ADAM29,4.45
ADAM29,6.97
STOX2,6.42
FAM149A,6.87
CYP4V2,8.38
KLKB1,5.22
DUX4,6.06
DUX4,5.77
ZNF732,9.2
RNF212,4.17
RNF212,4.32
NELFA; MIR943,8.93
FBXL5,11.88
FBXL5,7.56
FGFBP2,4.15
PROM1,6.11
QDPR,7.35
ADGRA3,10.32
ARAP2,7.33
ARAP2,5.68
TLR1,5.3
TLR1,7.78
TLR6,12.06
UGT2B17,4.13
UGT2B15,4.64
SULT1E1,5.07
COX18,9.67
G3BP2,15.95
NAAA,7.57
SDAD1,12.91
RASGEF1B,4.63
SEC31A,13.74
THAP9-AS1,11.89
C4orf36,6.62
C4orf36,7.6
HSD17B13,5.02
HSD17B11,14.48
GPRIN3,4.84
EMCN,5.8
SLC39A8,10.64
RP11-499E18.1; SLC39A8,5.85
SLC9B2,8.74
BDH2,8.64
ELOVL6,13.6
NUDT6,9.18
NUDT6,5.5
SCLT1,11.34
MGARP,9.49
NDUFC1,8.84
SETD7,10.66
SETD7,6.52
RNF150,4.92
