subsystem,reaction
"Transport, lysosomal",GALGLUSIDEtl
Sphingolipid metabolism,GALGT1
Sphingolipid metabolism,GALGT4
O-glycan metabolism,GALNTg
Galactose metabolism,GALOR
Chondroitin synthesis,GALTg
"Transport, extracellular",GAMt1r
Starch and sucrose metabolism,GAMYe
Sphingolipid metabolism,GAO1
Sphingolipid metabolism,GAO2
Sphingolipid metabolism,GAO2g
Keratan sulfate degradation,GASNASE3ly
Sphingolipid metabolism,GBAl
Glyoxylate and dicarboxylate metabolism,GCALDDm
"Glycine, serine, alanine, and threonine metabolism",GCC2am
"Glycine, serine, alanine, and threonine metabolism",GCC2bim
"Glycine, serine, alanine, and threonine metabolism",GCC2cm
"Glycine, serine, alanine, and threonine metabolism",GCCbim
"Glycine, serine, alanine, and threonine metabolism",GCCcm
"Transport, extracellular",GCHOLAt
"Transport, peroxisomal",GCHOLAtx
Blood group synthesis,GCNTg
"Transport, golgi apparatus",GD1B2tg
"Transport, golgi apparatus",GD1Ctg
"Transport, golgi apparatus",GDPtg
Folate metabolism,GGH_10FTHF5GLUe
Folate metabolism,GGH_10FTHF5GLUl
Folate metabolism,GGH_10FTHF6GLUe
Folate metabolism,GGH_10FTHF6GLUl
Folate metabolism,GGH_10FTHF7GLUe
Folate metabolism,GGH_5DHFe
Folate metabolism,GGH_5DHFl
Folate metabolism,GGH_5THFe
Folate metabolism,GGH_6DHFe
Folate metabolism,GGH_6THFe
Folate metabolism,GGH_6THFl
Folate metabolism,GGH_7DHFe
Folate metabolism,GGH_7DHFl
Folate metabolism,GGH_7THFl
Starch and sucrose metabolism,GGNG
N-glycan synthesis,GGT_L
Eicosanoid metabolism,GGT5r
Eicosanoid metabolism,GGT6
Lysine metabolism,GHMT3
Vitamin C metabolism,GLACO
"Transport, endoplasmic reticular",GLACter
Starch and sucrose metabolism,GLBRAN
Heparan sulfate degradation,GLCAASE1ly
Chondroitin sulfate degradation,GLCAASE5ly
Chondroitin synthesis,GLCAE1g
Chondroitin synthesis,GLCAE2g
Chondroitin synthesis,GLCAT2g
Chondroitin synthesis,GLCAT3g
Chondroitin synthesis,GLCAT9g
Chondroitin synthesis,GLCATg
"Transport, extracellular",GLCMter
Heparan sulfate degradation,GLCNACASE1ly
Heparan sulfate degradation,GLCNACASE2ly
Heparan sulfate degradation,GLCNACASE3ly
Heparan sulfate degradation,GLCNACASE4ly
Chondroitin synthesis,GLCNACT1g
Chondroitin synthesis,GLCNACT3g
Chondroitin synthesis,GLCNACT4g
"Transport, extracellular",GLCt1
"Transport, extracellular",GLCt2_2
"Transport, golgi apparatus",GLCtg
"Transport, endoplasmic reticular",GLCURter
"Transport, lysosomal",GLCURtly
Starch and sucrose metabolism,GLDBRAN
Vitamin C metabolism,GLNLASEer
"Transport, extracellular",GLNSERNaEx
"Transport, extracellular",GLNTHRNaEx
"Transport, extracellular",GLNtN1
Urea cycle,GLU5Km
Glutathione metabolism,GLUCYS
Glutamate metabolism,GLUDC
Glutamate metabolism,GDHm
Glutamate metabolism,GLUDym
Histidine metabolism,GluForTx
Glutamate metabolism,GLUNm
"Transport, mitochondrial",GLUt2m
"Transport, lysosomal",GLUt7l
Tryptophan metabolism,GLUTCOADHm
"Transport, endoplasmic reticular",GLUtr
"Transport, extracellular",GLUVESSEC
"Transport, mitochondrial",GLXtm
"Glycine, serine, alanine, and threonine metabolism",GLYATm
"Transport, mitochondrial",GLYBtm
"Transport, mitochondrial",GLYC3Ptm
Glyoxylate and dicarboxylate metabolism,GLYCLTDy
"Transport, mitochondrial",GLYCtm
Glyoxylate and dicarboxylate metabolism,GLYCTO1p
Glycerophospholipid metabolism,GLYKm
Pyruvate metabolism,GLYOXm
"Transport, peroxisomal",GLYtp
"Transport, extracellular",GP1CALPHAte
"Transport, extracellular",GP1Cte
"Transport, golgi apparatus",GP1Ctg
Phosphatidylinositol phosphate metabolism,GPIAT
Phosphatidylinositol phosphate metabolism,GPIMTer_U
"Transport, golgi apparatus",GQ1BALPHAtg
"Transport, extracellular",GQ1Bte
Cholesterol metabolism,GRTTx
"Transport, extracellular",GSNt
"Transport, extracellular",GSNt4
"Transport, lysosomal",GSNtl
Glutamate metabolism,GTHOr
Glutathione metabolism,GTHPe
Glutathione metabolism,GTHRDt
"Transport, endoplasmic reticular",GTHRDtr
Glutathione metabolism,GTMLTe
Nucleotide interconversion,GUACYC
Purine catabolism,GUAD
Phosphatidylinositol phosphate metabolism,H2ETer
Phosphatidylinositol phosphate metabolism,H2MTer_U
"Transport, lysosomal",H2O2tly
"Transport, nuclear",H2O2tn
"Transport, peroxisomal",H2O2tp
"Transport, lysosomal",H2Otly
"Transport, mitochondrial",H2Otm
"Transport, nuclear",H2Otn
"Transport, peroxisomal",H2Otp
Phosphatidylinositol phosphate metabolism,H3ETer
Phosphatidylinositol phosphate metabolism,H5MTer_U
Phosphatidylinositol phosphate metabolism,H6_ET2er
Phosphatidylinositol phosphate metabolism,H6_ETer
Phosphatidylinositol phosphate metabolism,H6MTer_U
Phosphatidylinositol phosphate metabolism,H7_ETer
Phosphatidylinositol phosphate metabolism,H7MTer_U
Phosphatidylinositol phosphate metabolism,H7_TAer
Phosphatidylinositol phosphate metabolism,H8TAer
Tryptophan metabolism,HACD1m
Hyaluronan metabolism,HAS2
"Transport, endoplasmic reticular",HDCAter
"Transport, extracellular",HDCEAt
Aminosugar metabolism,HEX10
"Transport, peroxisomal",HEXCCOAtx
Tyrosine metabolism,HGNTOR
"Valine, leucine, and isoleucine metabolism",HIBDm
Histidine metabolism,HISTASE
"Transport, extracellular",HISTAtu
"Transport, extracellular",HIStiDF
"Transport, extracellular",HIStN1
"Transport, extracellular",HKt
Tryptophan metabolism,HKYNH
Cholesterol metabolism,HMGCOAS
Heme degradation,HOXG
Fatty acid oxidation,HPCLx_1
Fatty acid oxidation,HPDCACRNt
"Transport, extracellular",HPDCAt
Glyoxylate and dicarboxylate metabolism,HPYRDC
Glyoxylate and dicarboxylate metabolism,HPYRRy
"Transport, nuclear",HRETNtn
Heparan sulfate degradation,HS1ly
Heparan sulfate degradation,HS3ly
Heparan sulfate degradation,HS4ly
Heparan sulfate degradation,HSAT1ly
Heparan sulfate degradation,HSAT4ly
Steroid metabolism,HSD11B1r
Steroid metabolism,HSD11B2r
Steroid metabolism,HSD17B1
Steroid metabolism,HSD17B2r
Steroid metabolism,HSD3A2r
Steroid metabolism,HSD3B11r
Steroid metabolism,HSD3B13r
Steroid metabolism,HSD3B2r
"Transport, lysosomal",HSPGtly
"Transport, golgi apparatus",Htg
"Transport, endoplasmic reticular",Htr
Vitamin B6 metabolism,HYPOE
Citric acid cycle,ICDHxm
Citric acid cycle,ICDHym
Heparan sulfate degradation,IDOAASE1ly
Heparan sulfate degradation,IDOAASE2ly
"Transport, extracellular",ILEtec
"Transport, extracellular",INSt4
Cholesterol metabolism,IPDDIx
"Transport, extracellular",It
C5-branched dibasic acid metabolism,ITCOAL1m
Aminosugar metabolism,KDNH
Galactose metabolism,KHK3
"Transport, extracellular",KSII_CORE2t
"Transport, lysosomal",KSII_CORE4tly
"Transport, golgi apparatus",Kt3g
Tryptophan metabolism,KYN
Tryptophan metabolism,KYNAKGAT
Pyruvate metabolism,LCADm
Fatty acid oxidation,LCAT1e
Pyruvate metabolism,LDH_Lm
"Transport, extracellular",LEUKTRA4t
"Transport, endoplasmic reticular",LEUKTRD4tr
"Transport, extracellular",LEUt4
"Transport, mitochondrial",LEUt5m
"Transport, extracellular",LEUtec
Tryptophan metabolism,LFORKYNHYD
"Transport, extracellular",LGNCt
Chondroitin sulfate degradation,LINKDEG4ly
Pyruvate metabolism,L_LACDcm
"Transport, mitochondrial",L_LACtm
Fatty acid oxidation,LNELDCCPT1
Fatty acid oxidation,LNELDCCPT2
Fatty acid oxidation,LNELDCCRNt
"Transport, extracellular",LNELDCt
Fatty acid oxidation,LNLNCACPT1
Fatty acid oxidation,LNLNCACPT2
Fatty acid oxidation,LNLNCACRNt
Fatty acid oxidation,LNLNCGCPT1
Cholesterol metabolism,LNS14DM
Cholesterol metabolism,LNSTLSr
"Transport, extracellular",LPCHOLt
Lysine metabolism,LPCOXp
Triacylglycerol synthesis,LPS
Fatty acid oxidation,LPS2e
Triacylglycerol synthesis,LPS3
Vitamin A metabolism,LRAT
Cholesterol metabolism,LSTO2r
Eicosanoid metabolism,LTA4H
Eicosanoid metabolism,LTD4DP
Lysine metabolism,LYSOXp
"Transport, extracellular",LYSt5r
"Transport, peroxisomal",LYStip
Histidine metabolism,MACOXO
"Transport, extracellular",MAGt
"Transport, mitochondrial",MALSO3tm
"Transport, mitochondrial",MALSO4tm
"Transport, mitochondrial",MALTSULtm
Tyrosine metabolism,MAOLNOR
Tyrosine metabolism,MAOX
"Valine, leucine, and isoleucine metabolism",MCCCrm
Fatty acid oxidation,MCD
Fatty acid oxidation,MCDm
Propanoate metabolism,MCITS
Citric acid cycle,MDHm
Pyruvate metabolism,ME2
"Transport, lysosomal",MEOHtly
"Transport, extracellular",MEPIVESSte_cho
"Transport, extracellular",MERCPLACCYSt
"Transport, extracellular",METLEUex
"Transport, extracellular",METt4
Cholesterol metabolism,MEVK1x
"Valine, leucine, and isoleucine metabolism",MGCHrm
Pyruvate metabolism,MGSA
Inositol phosphate metabolism,MI13PP
Inositol phosphate metabolism,MI14P4P
"Transport, nuclear",MI14Ptn
Inositol phosphate metabolism,MI1PS
Inositol phosphate metabolism,MI34PP
"Transport, nuclear",MINOHPtn
Starch and sucrose metabolism,MLTG1
Starch and sucrose metabolism,MLTG1e
Starch and sucrose metabolism,MLTG1ly
Propanoate metabolism,MMSAD3m
Arginine and proline metabolism,MTAP
Folate metabolism,MTHFDm
"Transport, extracellular",MTHGXLt
"Transport, lysosomal",N2M2NMASNtly
O-glycan metabolism,N4Tg
"Transport, mitochondrial",NACASPtm
Keratan sulfate degradation,NACHEX11ly
Keratan sulfate degradation,NACHEX12ly
Keratan sulfate degradation,NACHEX14ly
Keratan sulfate degradation,NACHEX15ly
Keratan sulfate degradation,NACHEX18ly
Keratan sulfate degradation,NACHEX19ly
Keratan sulfate degradation,NACHEX21ly
Keratan sulfate degradation,NACHEX22ly
Keratan sulfate degradation,NACHEX23ly
Keratan sulfate degradation,NACHEX24ly
Chondroitin sulfate degradation,NACHEX2ly
Chondroitin sulfate degradation,NACHEX4ly
Keratan sulfate degradation,NACHEXA14ly
Keratan sulfate degradation,NACHEXA16ly
Keratan sulfate degradation,NACHEXA17ly
Keratan sulfate degradation,NACHEXA19ly
Chondroitin sulfate degradation,NACHEXA1ly
Keratan sulfate degradation,NACHEXA22ly
Chondroitin sulfate degradation,NACHEXA6ly
Chondroitin sulfate degradation,NACHEXA8ly
"Transport, peroxisomal",NADHtpu
"Transport, peroxisomal",NADPHtxu
NAD metabolism,NADPN
NAD metabolism,NADPNe
Keratan sulfate degradation,NAGA2ly
Sphingolipid metabolism,NAGAly
Keratan sulfate degradation,NAGLCAly
"Transport, extracellular",NAHCO3_HCLt
"Transport, extracellular",NaKt_1
"Transport, extracellular",NAt
"Transport, extracellular",NAt5
"Transport, peroxisomal",NAtx
"Transport, extracellular",NCAMUP
"Transport, extracellular",NCKt
"Transport, extracellular",NCNt
Nucleotide interconversion,NDP10ex
Nucleotide interconversion,NDP3ex
Nucleotide interconversion,NDP6
Nucleotide interconversion,NDP7er
Nucleotide interconversion,NDP7ex
Nucleotide interconversion,NDPK10
Nucleotide interconversion,NDPK10n
Nucleotide interconversion,NDPK1m
Nucleotide interconversion,NDPK1n
Nucleotide interconversion,NDPK2n
Nucleotide interconversion,NDPK3n
Nucleotide interconversion,NDPK5m
Nucleotide interconversion,NDPK5n
Nucleotide interconversion,NDPK6n
Nucleotide interconversion,NDPK8m
Nucleotide interconversion,NDPK8n
"Transport, extracellular",NH4t3r
"Transport, extracellular",NKCCt
NAD metabolism,NMNATm
NAD metabolism,NMNATn
NAD metabolism,NMNAT
NAD metabolism,NMNS
"Transport, nuclear",NMNtn
NAD metabolism,NNATn
NAD metabolism,NNMT
Tyrosine metabolism,NORANMT
Arginine and proline metabolism,NOS1
"Transport, extracellular",NOt
NAD metabolism,NP1
"Transport, extracellular",NPTHLte
"Transport, extracellular",NRPPHRSFt
"Transport, extracellular",NRPPHRt4_2_r
"Transport, extracellular",NRPPHRtu
"Transport, extracellular",NRPPHRVESSEC_1
Nucleotide interconversion,NTD2e
Pyrimidine catabolism,NTD4l
Pyrimidine catabolism,NTD5l
Purine catabolism,NTD7l
Nucleotide interconversion,NTP3e
Nucleotide interconversion,NTPP10
Nucleotide interconversion,NTPP9
"Transport, extracellular",O2St
"Transport, peroxisomal",O2Stx
"Transport, mitochondrial",O2tm
"Transport, peroxisomal",O2tp
"Transport, extracellular",OAGD3te
"Transport, golgi apparatus",OAGD3tg
"Transport, extracellular",OAGT3te
"Transport, golgi apparatus",OAGT3tg
"Transport, extracellular",OCDCAt
"Transport, extracellular",OCDCEAt
"Valine, leucine, and isoleucine metabolism",OCOAT1m
"Transport, extracellular",OCTAt
"Transport, peroxisomal",ODECOAtx
"Valine, leucine, and isoleucine metabolism",OIVD1m
"Valine, leucine, and isoleucine metabolism",OIVD3m
"Transport, extracellular",ONPTHLte
Glutathione metabolism,OPAH
Vitamin A metabolism,ORETNF2
"Transport, nuclear",ORETNtn
"Transport, nuclear",ORETNtn2
"Transport, mitochondrial",ORNt3m
Urea cycle,ORNTArm
Pyrimidine synthesis,ORPT
"Transport, extracellular",OXAHCOtex
Steroid metabolism,P45011A1m
Steroid metabolism,P45011B11m
Steroid metabolism,P45011B12m
Steroid metabolism,P45017A1r
Steroid metabolism,P45019A2r
Steroid metabolism,P4501B1r
Steroid metabolism,P45021A2r
Bile acid synthesis,P45027A12m
Bile acid synthesis,P45027A16m
Bile acid synthesis,P45027A1m
Cytochrome metabolism,P4502C19
Cytochrome metabolism,P4502C9
Limonene and pinene degradation,P4502C93
Limonene and pinene degradation,P4502C94
Cytochrome metabolism,P4502F1
Bile acid synthesis,P45039A1r
Steroid metabolism,P4503A43r
Cytochrome metabolism,P4503A5
Steroid metabolism,P4503A7r
Eicosanoid metabolism,P4504B1r
Eicosanoid metabolism,P4504F121r
Bile acid synthesis,P4508B13r
Cholesterol metabolism,P450SCC1m
Glutamate metabolism,P5CDm
Arginine and proline metabolism,P5CRxm
"Transport, golgi apparatus",PA_HStg
"Transport, nuclear",PA_HStn
Phenylalanine metabolism,PACCOAL
Glycerophospholipid metabolism,PAFH
Glycerophospholipid metabolism,PAFHe
Glycerophospholipid metabolism,PAFS
"Transport, nuclear",PAIL4P_HStn
CoA catabolism,PAN4PP
"Transport, golgi apparatus",PCHOL_HStg
Glycerophospholipid metabolism,PCHOLPm_hs
Tryptophan metabolism,PCLAD
Pyruvate metabolism,PCm
"Transport, extracellular",PCt
Inositol phosphate metabolism,PI3P3Pn
Nucleotide interconversion,GCPNn
Vitamin B6 metabolism,PDX5POi
"Transport, endoplasmic reticular",PE_HSter
"Transport, mitochondrial",PE_HStm
Phenylalanine metabolism,PEAMNO
"Transport, mitochondrial",PEFLIPm
Glycolysis/gluconeogenesis,PEPCK_re
Glycolysis/gluconeogenesis,PEPCKm
"Transport, extracellular",PEt
Glycerophospholipid metabolism,PETOHMm_hs
Glycerophospholipid metabolism,PETOHMr_hs
Fructose and mannose metabolism,PFK26
Eicosanoid metabolism,PGDIr
Eicosanoid metabolism,PGESr
Eicosanoid metabolism,PGISr
Eicosanoid metabolism,PGS
Eicosanoid metabolism,PGSr
Phenylalanine metabolism,PHACCOAGLNAC
Arginine and proline metabolism,PHCDm
"Transport, extracellular",PHEtec
Phenylalanine metabolism,PHETHPTOX2
Inositol phosphate metabolism,PI345P3P
Inositol phosphate metabolism,PI345P3Pn
Inositol phosphate metabolism,PI345P5Pn
Inositol phosphate metabolism,PI3P5K
Inositol phosphate metabolism,PI45P3Kn
Inositol phosphate metabolism,PI45P4P
Inositol phosphate metabolism,PI45P5Pn
Inositol phosphate metabolism,PI45PLC
Inositol phosphate metabolism,PI4P3K
Glycerophospholipid metabolism,PI4P5K
Inositol phosphate metabolism,PI4P5Kn
Inositol phosphate metabolism,PI4PP
Inositol phosphate metabolism,PI5P3K
Inositol phosphate metabolism,PI5P4K
"Transport, extracellular",PRODt2r
"Transport, extracellular",PROSTGD2t
"Transport, extracellular",PROSTGE1t3
Inositol phosphate metabolism,PIK3
Inositol phosphate metabolism,PIK3n
Glycerophospholipid metabolism,PIK4
Inositol phosphate metabolism,PIK5
Cholesterol metabolism,PMEVKx
Inositol phosphate metabolism,PMI12346PHn
"Transport, peroxisomal",PMTCOAtx
"Transport, extracellular",PNTOt5_1
Miscellaneous,PPAn
"Transport, extracellular",PPAtr
"Transport, mitochondrial",PPAtm
"Transport, peroxisomal",PPItx
Purine synthesis,PRAGSr
Miscellaneous,PRDX
"Transport, mitochondrial",PRGNLONEtm
"Transport, peroxisomal",PRISTANALtx
"Transport, extracellular",PROSTGF2t
"Transport, extracellular",PROSTGH2t
"Transport, endoplasmic reticular",PROSTGI2tr
Glycerophospholipid metabolism,PSDm_hs
Glycerophospholipid metabolism,PSSA1_hs
Glycerophospholipid metabolism,PSSA2_hs
"Transport, extracellular",PSt3
Fatty acid oxidation,PTDCACRNCPT1
Fatty acid oxidation,PTDCACRNt
"Transport, extracellular",PTDCAt
Fatty acid oxidation,PTE2x
Fatty acid oxidation,PTE3x
Tetrahydrobiopterin metabolism,PTHPS
Arginine and proline metabolism,PTRCAT1
Vitamin B6 metabolism,PYAM5PO
Vitamin B6 metabolism,PYDXDH
"Transport, mitochondrial",PYRt2m
Vitamin A metabolism,RADH
Vitamin A metabolism,RADH4
Vitamin A metabolism,RAHY
"Transport, nuclear",RAtn
"Transport, extracellular",RBTt
Vitamin A metabolism,RDH3
Vitamin A metabolism,RDH3a
"Transport, extracellular",RETFAt2
Vitamin A metabolism,RETH
Vitamin A metabolism,RETH1
Vitamin A metabolism,RETH1e
Vitamin A metabolism,RETH2
Vitamin A metabolism,RETI1
Vitamin A metabolism,RETI2
Vitamin A metabolism,RETI3
"Transport, extracellular",RETNGLCt
"Transport, endoplasmic reticular",RETNGLCt2
"Transport, extracellular",RETNt
"Transport, endoplasmic reticular",RETNtr
"Transport, extracellular",RIBFLVt3
"Transport, extracellular",RTOTAL2t
Fatty acid oxidation,RTOTAL3CRNCPT1
Fatty acid oxidation,RTOTAL3CRNt
"Transport, extracellular",RTOTALt
"Transport, lysosomal",Rtotaltl
Keratan sulfate synthesis,S23T2g
Keratan sulfate synthesis,S23T4g
"Transport, lysosomal",S2L2FN2M2MASNtly
Chondroitin synthesis,S2T2g
Chondroitin sulfate degradation,S2TASE4ly
Chondroitin synthesis,S3T1g
Chondroitin synthesis,S3T2g
Chondroitin synthesis,S3T3g
Heparan sulfate degradation,S3TASE1ly
Heparan sulfate degradation,S3TASE2ly
Chondroitin synthesis,S4T1g
Chondroitin sulfate degradation,S4TASE5ly
Keratan sulfate synthesis,S6T16g
Keratan sulfate synthesis,S6T17g
Chondroitin synthesis,S6T19g
Chondroitin synthesis,S6T22g
Chondroitin synthesis,S6T23g
Keratan sulfate degradation,S6TASE10ly
Keratan sulfate degradation,S6TASE12ly
Keratan sulfate degradation,S6TASE13ly
Keratan sulfate degradation,S6TASE18ly
Keratan sulfate degradation,S6TASE19ly
Keratan sulfate degradation,S6TASE20ly
Keratan sulfate degradation,S6TASE22ly
Keratan sulfate degradation,S6TASE23ly
Chondroitin sulfate degradation,S6TASE4ly
Chondroitin sulfate degradation,S6TASE7ly
Chondroitin sulfate degradation,S6TASE9ly
Lysine metabolism,SACCD4m
Histidine metabolism,SAMHISTA
"Glycine, serine, alanine, and threonine metabolism",SARCOXp
"Transport, extracellular",SARCStex
"Transport, mitochondrial",SARCStm
Urea cycle,SARDHm
Sphingolipid metabolism,SBPP1er
"Transport, peroxisomal",SCP21x
"Transport, peroxisomal",SCP22x
Bile acid synthesis,SCPx
"Transport, extracellular",SERALANaEx
"Transport, extracellular",SERCYSNaEx
"Transport, extracellular",SERDGLNexR
"Transport, extracellular",SERDGLYexR
"Transport, extracellular",SERGLNexR
"Transport, extracellular",SERGLNNaEx
"Glycine, serine, alanine, and threonine metabolism",SERHL
Sphingolipid metabolism,SERPT
Blood group synthesis,ST3GAL62g
"Transport, extracellular",SERt4
"Transport, peroxisomal",SERtp
Keratan sulfate degradation,SIAASE3ly
N-glycan degradation,SIAASEly
Sphingolipid metabolism,SIAT4Bg
Sphingolipid metabolism,SIAT9g
Intracellular source/sink,SK_citr__L_c
Intracellular source/sink,SK_pre_prot_r
Methionine and cysteine metabolism,SLDx
Sphingolipid metabolism,SMPD3l
Sphingolipid metabolism,SMPD4
"Transport, extracellular",SO4CLtex2
"Transport, extracellular",SO4HCOtex
"Transport, extracellular",SO4OXAtex2
Cholesterol metabolism,SOAT12
"Transport, extracellular",SPC_HSt
"Transport, extracellular",SPH1Pte
"Transport, endoplasmic reticular",SPHGNtr
Sphingolipid metabolism,SPHMDAc
"Transport, lysosomal",SPHMYLNtl
"Transport, extracellular",SPHS1Pte
"Transport, endoplasmic reticular",SPHS1Ptr
ROS detoxification,SPODMm
ROS detoxification,SPODMn
ROS detoxification,SPODMx
Urea cycle,SPRMS
"Glycine, serine, alanine, and threonine metabolism",SPTix
Sphingolipid metabolism,ST6GALNAC24
Sphingolipid metabolism,ST6GALNAC61
Sphingolipid metabolism,ST8SIA11
Sphingolipid metabolism,ST8SIA54g
Sphingolipid metabolism,ST8SIA55g
Fatty acid oxidation,STRDNCCPT2
Fatty acid oxidation,STRDNCCRNt
Steroid metabolism,STS1r
"Transport, mitochondrial",SUCCtm
"Transport, extracellular",SUCCt4_2
Citric acid cycle,SUCOAS1m
Citric acid cycle,SUCOASm
Galactose metabolism,SUCRe
"Transport, extracellular",TAGt
Taurine and hypotaurine metabolism,TAURtcx
"Transport, extracellular",TCHOLAt2
"Transport, extracellular",TCHOLAte
"Transport, peroxisomal",TCHOLAtx
"Transport, extracellular",TCYNTt
"Transport, extracellular",TDCHOLAte
Thiamine metabolism,TDP
"Transport, peroxisomal",TETPENT3COAtx
Fatty acid oxidation,TETPENT3CPT2
Fatty acid oxidation,TETPENT3CRNt
"Transport, extracellular",TETPENT3t
Fatty acid oxidation,TETPENT6CPT2
"Transport, extracellular",TETPENT6t
"Transport, peroxisomal",TETTET6COAtx
Fatty acid oxidation,TETTET6CPT1
Fatty acid oxidation,TETTET6CRNt
"Transport, extracellular",TETTET6t
Tetrahydrobiopterin metabolism,THBPT4ACAMDASE
"Transport, extracellular",THFt2_1
"Transport, lysosomal",THFtl
Thiamine metabolism,THMP
"Transport, mitochondrial",THMPPtm_cho
"Transport, peroxisomal",THP2Ctp
"Transport, extracellular",THRALANaEx
"Transport, extracellular",THRASNNaEx
"Transport, extracellular",THRGLNexR
"Transport, extracellular",THRt4
"Transport, extracellular",THYMDt1
"Transport, extracellular",THYMt
"Transport, extracellular",THYOXt2
Pyrimidine catabolism,TMDPP
Thiamine metabolism,TMDPPK
Fatty acid oxidation,TMNDNCCPT2
"Transport, extracellular",TOLBUTAMIDEte
Nucleotide interconversion,TRDR
Miscellaneous,TRDR3
Starch and sucrose metabolism,TREH
Starch and sucrose metabolism,TREHe
"Transport, extracellular",TRIODTHYt
"Transport, extracellular",TRIODTHYt2
Fructose and mannose metabolism,TRIOK
Vitamin D metabolism,TS3
"Transport, extracellular",TXA2te
Eicosanoid metabolism,TXASr
"Transport, extracellular",TYMSFt
Tyrosine metabolism,TYMSULT
Tyrosine metabolism,TYR3MO2
Tyrosine metabolism,TYRCBOX
Tyrosine metabolism,TYRDOPO3
"Transport, extracellular",TYRt
"Transport, extracellular",TYRt4
Tyrosine metabolism,TYRTAim
N-glycan synthesis,UDPDOLPT_L
Pentose phosphate pathway,UDPG1P
"Transport, endoplasmic reticular",UDPGLCAter
"Transport, golgi apparatus",UGALNACtg
"Transport, golgi apparatus",UGLCNACtg
Steroid metabolism,UGT1A3r
Vitamin A metabolism,UGT1A5r
Vitamin A metabolism,UGT1A5r2
Steroid metabolism,UGT1A7r
Nucleotide interconversion,UMPK2
Nucleotide interconversion,UMPK2n
Nucleotide interconversion,UMPK3n
Nucleotide interconversion,UMPK5n
Nucleotide interconversion,UMPK6
Pyrimidine catabolism,UPPN
"Transport, extracellular",URAt
"Transport, peroxisomal",URATEtx
Nucleotide interconversion,URIDK2m
Pyrimidine synthesis,URIK1
"Transport, extracellular",URIt4
"Transport, lysosomal",Uritl
"Transport, extracellular",VACCt
"Transport, extracellular",VALt4
"Transport, mitochondrial",VALt5m
"Valine, leucine, and isoleucine metabolism",VALTAim
"Transport, extracellular",VALtec
Vitamin D metabolism,VD3
Bile acid synthesis,VLCS2r
Bile acid synthesis,VLCSr
"Transport, extracellular",WHDDCAte
"Transport, extracellular",WHHDCAte
"Transport, extracellular",WHTSTSTERONEte
Purine catabolism,XANDp
"Transport, peroxisomal",XANtx
Purine catabolism,XAO2x
"Transport, endoplasmic reticular",XOL7AONEtr
"Transport, extracellular",XOLEST2te
"Transport, endoplasmic reticular",XOLTRI24tc
"Transport, endoplasmic reticular",XOLTRI27tc
"Transport, extracellular",XOLTRI27te
"Transport, golgi apparatus",XSERtg
Pentose phosphate pathway,XYLTD_D
"Transport, lysosomal",XYLtly
Extracellular exchange,EX_ctp_e
Extracellular exchange,EX_dtmp_e
Extracellular exchange,EX_fad_e
Extracellular exchange,EX_fald_e
Extracellular exchange,EX_g1p_e
Extracellular exchange,EX_HC01104_e
Extracellular exchange,EX_HC01441_e
Extracellular exchange,EX_HC01444_e
Extracellular exchange,EX_HC01609_e
Extracellular exchange,EX_cpppg1_e
Extracellular exchange,EX_HC01700_e
Extracellular exchange,EX_HC02161_e
Extracellular exchange,EX_itp_e
Extracellular exchange,EX_prpp_e
Extracellular exchange,EX_pydx5p_e
"Transport, endoplasmic reticular",r0002
Glutathione metabolism,GDRm
CoA synthesis,DPCOAKm
Urea cycle,CPS_m
Purine catabolism,r0047
Purine catabolism,r0051
Pyruvate metabolism,ALR
Miscellaneous,r0068
Citric acid cycle,ALATA_Lm
Miscellaneous,r0084
Urea cycle,r0085
Starch and sucrose metabolism,r0093
Miscellaneous,r0097
Glycolysis/gluconeogenesis,PYK3
Arginine and proline metabolism,r0145
Glycolysis/gluconeogenesis,PYK4
Urea cycle,r0157
Cholesterol metabolism,r0170
Purine catabolism,r0809
Glycolysis/gluconeogenesis,r0173
Glutamate metabolism,r0179
Glycerophospholipid metabolism,r0186
Fructose and mannose metabolism,r0191
Methionine and cysteine metabolism,r0193
Miscellaneous,r0196
Oxidative phosphorylation,r0205
Methionine and cysteine metabolism,r0210
Miscellaneous,r0221_1
Folate metabolism,DHFRim
Pyrimidine catabolism,DURADx
Tryptophan metabolism,r0239
Glycerophospholipid metabolism,ALCD19y
Glycolysis/gluconeogenesis,r0280
Methionine and cysteine metabolism,r0281
Beta-Alanine metabolism,r0283
Fatty acid oxidation,r0308
Miscellaneous,r0317
Cholesterol metabolism,r0321
Pyrimidine catabolism,r0331
Miscellaneous,r0340
Fructose and mannose metabolism,r0357
Fructose and mannose metabolism,r0360
Aminosugar metabolism,r0363
Aminosugar metabolism,r0364
Propanoate metabolism,r0365
Pyrimidine catabolism,ADADir
Miscellaneous,r0380
Miscellaneous,r0385
Miscellaneous,r0386
Vitamin B6 metabolism,PYDXO_1
NAD metabolism,NAPRT
Miscellaneous,r0393
Nucleotide interconversion,XAO2
"Transport, peroxisomal",r1003
Glycolysis/gluconeogenesis,AGPOP
Miscellaneous,r0423
Miscellaneous,r0424
Miscellaneous,r0426
Fatty acid oxidation,r0431_1
Fatty acid oxidation,r0432_1
Fatty acid oxidation,r0440
Fatty acid oxidation,r0443
